p1,p2,ibd1
AMJI031333,TGYE3708,0.091
AMJI031333,TGYE3709,0
AMJI031333,TGYE3710,0
AMJI031333,Phem8,0.426
AMJI031333,Phem9,0.043
AMJI031333,Phem10,0.569
AMJI031333,Phem11,0
AMJI031333,SEBI1501,0.235
AMJI031333,SEBI1502,0.235
AMJI031333,SEBI1503,0.33
AMJI031333,SEBI1504,0.426
AMJI031333,SEBI1505,0
AMJI031333,SEBI1506,0.235
AMJI031333,SEBI1507,0
AMJI031333,SEBI1508,0.474
AMJI031333,SEBI1509,0.378
AMJI031333,SEBI1510,0.235
AMJI031333,SEBI1511,0.043
AMJI031333,SEBI1512,0.187
AMJI031333,SEBI1513,0.139
AMJI031333,SEBI1514,0.522
AMJI031333,SEBI1515,0.187
AMJI031333,SEBI1516,0.139
AMJI031333,SEBI1517,0
AMJI031333,SEBI1518,0
AMJI031333,SEBI1519,0
AMJI031333,SEBI1520,0.235
AMJI031333,SEBI1521,0.187
AMJI031333,SEBI1522,0
AMJI031333,SEBI1523,0.235
AMJI031333,SEBI1524,0.043
AMJI031333,SEBI1525,0.187
AMJI031333,SEBI1526,0.282
AMJI031333,SEBI1527,0.617
AMJI031333,SEBI1528,0
AMJI031333,SEBI1529,0.282
AMJI031333,SEBI1530,0
AMJI031333,SEBI1531,0.33
AMJI031333,SEBI1532,0.378
AMJI031333,SEBI1533,0.235
AMJI031333,SEBI1534,0.187
AMJI031333,SEBI1535,0.235
AMJI031333,SEBI1536,0.282
AMJI031333,SEBI1537,0.139
AMJI031333,SEBI1538,0.33
AMJI031333,SEBI1539,0.426
AMJI031333,SEBI1540,0.187
AMJI031333,SEBI1541,0.187
AMJI031333,SEBI1542,0.187
AMJI031333,SEBI1543,0.426
AMJI031333,SEBI1544,0.235
AMJI031333,SEBI1545,0.426
AMJI031333,SEBI1546,0.378
AMJI031333,SEBI1547,0.282
AMJI031333,SEBI1548,0.282
AMJI031333,SEBI1549,0.235
AMJI031333,SEBI1550,0.569
AMJI031333,SEBI1551,0.378
AMJI031333,SEBI1552,0.522
AMJI031333,SEBI1553,0.474
AMJI031333,SEBI1554,0
AMJI031333,SEBI1555,0
AMJI031333,SEBI1556,0.187
AMJI031333,SEBI1557,0.139
AMJI031333,SEBI1558,0.139
AMJI031333,SEBI1559,0.665
AMJI031333,SEBI1560,0.091
AMJI031333,SEBI1561,0
AMJI031333,SEBI1562,0
AMJI031333,SEBI1563,0
AMJI031333,SEBI1564,0.139
AMJI031333,SEBI1565,0.378
AMJI031333,SEBI1566,0.139
AMJI031333,SEBI1567,0.091
AMJI031333,SEBI1568,0.139
AMJI031333,SEBI1569,0
AMJI031333,SEBI1570,0
AMJI031333,SEBI1571,0.043
AMJI031333,SEBI1572,0.187
AMJI031333,SEBI1573,0
AMJI031333,SEBI1574,0.091
AMJI031333,SEBI1575,0.282
AMJI031333,SEBI1576,0
AMJI031333,SEBI1577,0.33
AMJI031333,SEBI1578,0.235
AMJI031333,SEBI1579,0.33
AMJI031333,SEBI1580,0.522
AMJI031333,SEBI1581,0.187
AMJI031333,SEBI1582,0.426
AMJI031333,SEBI1583,0.187
AMJI031333,SEBI1584,0.282
AMJI031333,SEBI1585,0.378
AMJI031333,SEBI1586,0.043
AMJI031333,SEBI1587,0.235
AMJI031333,SEBI1588,0
AMJI031333,SEBI1589,0.33
AMJI031333,SEBI1590,0.235
AMJI031333,SEBI1591,0.33
AMJI031333,SEBI1592,0.426
AMJI031333,Phem4,0.091
AMJI031333,Phem5,0
AMJI031333,Phem6,0
AMJI031333,Phem7,0.187
AMJI031333,AMAN030929,0.187
AMJI031333,AMAN030930,0
AMJI031333,AMAN030931,0.187
AMJI031333,AMAN030932,0
AMJI031333,AMAN030933,0.617
AMJI031333,AMAN030934,0.043
AMJI031333,AMAN030935,0
AMJI031333,AMAN030936,0.091
AMJI031333,AMAN030937,0
AMJI031333,AMAN030938,0
AMJI031333,AMAN030939,0.282
AMJI031333,AMAN030940,0
AMJI031333,AMAN030941,0
AMJI031333,AMAN030942,0
AMJI031333,AMAN030943,0.091
AMJI031333,AMAN030944,0.33
AMJI031333,AMAN030945,0
AMJI031333,AMAN030946,0.33
AMJI031333,AMAN030947,0.378
AMJI031333,AMAN030948,0.33
AMJI031333,AMAN030949,0.33
AMJI031333,AMAN030950,0.378
AMJI031333,AMAN030951,0.33
AMJI031333,AMAN030952,0.33
AMJI031333,AMAN030953,0.091
AMJI031333,AMAN030954,0
AMJI031333,AMAN030955,0
AMJI031333,AMAN030956,0
AMJI031333,AMAN030957,0.139
AMJI031333,AMAN030958,0.043
AMJI031333,AMAN030959,0
AMJI031333,AMAN030960,0
AMJI031333,AMAN030961,0
AMJI031333,AMAN030962,0
AMJI031333,AMAN030963,0
AMJI031333,AMAN030964,0.235
AMJI031333,AMAN030965,0
AMJI031333,AMAN030966,0.33
AMJI031333,AMAN030967,0.33
AMJI031333,AMAN030968,0.33
AMJI031333,AMAN030969,0.33
AMJI031333,AMAN030970,0
AMJI031333,AMAN030971,0.139
AMJI031333,AMAN030972,0
AMJI031333,AMAN030973,0.139
AMJI031333,AMAN030974,0.139
AMJI031333,AMAN030975,0.043
AMJI031333,AMAN030976,0.043
AMJI031333,AMAN030977,0.282
AMJI031333,AMAN030978,0.235
AMJI031333,AMAN030979,0.091
AMJI031333,AMAN030980,0.091
AMJI031333,AMAN030981,0
AMJI031333,AMAN030982,0
AMJI031333,AMAN030983,0
AMJI031333,AMAN030984,0.426
AMJI031333,AMAN030985,0.378
AMJI031333,AMAN030986,0.426
AMJI031333,AMAN030987,0.426
AMJI031333,AMAN030988,0.426
AMJI031333,AMAN030989,0.426
AMJI031333,AMAN030990,0.426
AMJI031333,AMAN030991,0.426
AMJI031333,AMAN030992,0.426
AMJI031333,AMAN030993,0.426
AMJI031333,AMAN030994,0.235
AMJI031333,AMAN030995,0.187
AMJI031333,AMAN030996,0.235
AMJI031333,AMAN030997,0.235
AMJI031333,AMAN030998,0
AMJI031333,AMAN030999,0.235
AMJI031333,AMAN031000,0.235
AMJI031333,AMAN031001,0.33
AMJI031333,AMAN031002,0.474
AMJI031333,AMAN031003,0.33
AMJI031333,AMAN031004,0.426
AMJI031333,AMAN031005,0.426
AMJI031333,AMAN031006,0
AMJI031333,AMAN031007,0.426
AMJI031333,AMAN031008,0.426
AMJI031333,AMAN031009,0.426
AMJI031333,AMAN031010,0.426
AMJI031333,AMAN031011,0.426
AMJI031333,AMAN031012,0.378
AMJI031333,AMAN031013,0.426
AMJI031333,AMAN031014,0.426
AMJI031333,AMAN031015,0.426
AMJI031333,AMAN031016,0.426
AMJI031333,AMAN031017,0.139
AMJI031333,AMAN031018,0.091
AMJI031333,AMAN031019,0.378
AMJI031333,AMAN031020,0.33
AMJI031333,Phem1,0.33
AMJI031333,Phem2,0.235
AMJI031333,Phem3,0.282
AMJI031334,AMJI031335,0.426
AMJI031334,AMJI031336,0.282
AMJI031334,AMJI031337,0.235
AMJI031334,AMJI031338,0.474
AMJI031334,AMJI031339,0.139
AMJI031334,AMJI031340,0.33
AMJI031334,AMJI031341,0.043
AMJI031334,AMJI031342,0.139
AMJI031334,AMJI031343,0.426
AMJI031334,AMJI031344,0.139
AMJI031334,AFWO3422,0.474
AMJI031334,AFWO3423,0.139
AMJI031334,AFWO3424,0.187
