"p1","p2","ibd1"
"AMJI031333","SEBI1509",0.384
"AMJI031333","SEBI1508",0.478
"AMJI031333","SEBI1507",0.004
"AMJI031333","SEBI1506",0.241
"AMJI031333","SEBI1505",0
"AMJI031333","SEBI1504",0.431
"AMJI031333","SEBI1503",0.336
"AMJI031333","SEBI1502",0.241
"AMJI031333","SEBI1501",0.241
"AMJI031333","GAAB2312",0.004
"AMJI031333","GAAB2311",0
"AMJI031333","GAAB2310",0
"AMJI031333","GAAB2309",0.289
"AMJI031333","GAAB2308",0
"AMJI031333","GAAB2307",0.384
"AMJI031333","GAAB2306",0
"AMJI031333","GAAB2305",0.099
"AMJI031333","GAAB2304",0.099
"AMJI031333","GAAB2303",0
"AMJI031333","GAAB2302",0
"AMJI031333","GAAB2301",0
"AMJI031333","DILE6100",0
"AMJI031333","DILE6099",0.431
"AMJI031333","DILE6098",0.573
"AMJI031333","DILE6097",0
"AMJI031333","DILE6096",0
"AMJI031333","DILE6095",0.431
"AMJI031333","DILE6094",0.004
"AMJI031333","DILE6093",0.241
"AMJI031333","DILE6092",0.668
"AMJI031333","DILE6091",0.431
"AMJI031333","DILE6090",0.194
"AMJI031333","DILE6089",0
"AMJI031333","DILE6088",0
"AMJI031333","DILE6087",0.384
"AMJI031333","DILE6086",0.336
"AMJI031333","DILE6085",0.004
"AMJI031333","DILE6084",0.241
"AMJI031333","DILE6083",0.194
"AMJI031333","DILE6082",0.099
"AMJI031333","DILE6081",0.099
"AMJI031333","DILE6080",0
"AMJI031333","DILE6079",0
"AMJI031333","DILE6078",0.099
"AMJI031333","DILE6076",0.336
"AMJI031333","DILE6074",0.478
"AMJI031333","DILE6073",0
"AMJI031333","DILE6072",0.384
"AMJI031333","DILE6071",0.384
"AMJI031333","AMWO031587",0.336
"AMJI031333","AMWO031586",0.241
"AMJI031333","AMWO031585",0.384
"AMJI031333","AMWO031584",0.004
"AMJI031333","AMWO031583",0.194
"AMJI031333","AMWO031582",0
"AMJI031333","AMJI031344",0.147
"AMJI031333","AMJI031343",0.147
"AMJI031333","AMJI031342",0.336
"AMJI031333","AMJI031341",0.336
"AMJI031333","AMJI031340",0
"AMJI031333","AMJI031339",0.241
"AMJI031333","AMJI031338",0.194
"AMJI031333","AMJI031337",0.336
"AMJI031333","AMJI031336",0.004
"AMJI031333","AMJI031335",0.241
"AMJI031333","AMJI031334",0.336
"AMJI031333","AMHA4857",0.336
"AMJI031333","AMHA4856",0.052
"AMJI031333","AMHA4855",0.052
"AMJI031333","AMHA4854",0.194
"AMJI031333","AMHA4853",0.289
"AMJI031333","AMHA485",0.194
"AMJI031333","AMHA1708",0.336
"AMJI031333","AMHA1707",0.384
"AMJI031333","AMHA1706",0.194
"AMJI031333","AMHA1705",0
"AMJI031333","AMHA1704",0
"AMJI031333","AMHA1703",0.289
"AMJI031333","AMHA1702",0.384
"AMJI031333","AMHA1701",0
"AMJI031333","AMAN031020",0.336
"AMJI031333","AMAN031019",0.384
"AMJI031333","AMAN031018",0.099
"AMJI031333","AMAN031017",0.147
"AMJI031333","AMAN031016",0.431
"AMJI031333","AMAN031015",0.431
"AMJI031333","AMAN031014",0.431
"AMJI031333","AMAN031013",0.431
"AMJI031333","AMAN031012",0.384
"AMJI031333","AMAN031011",0.431
"AMJI031333","AMAN031010",0.431
"AMJI031333","AMAN031009",0.431
"AMJI031333","AMAN031008",0.431
"AMJI031333","AMAN031007",0.431
"AMJI031333","AMAN031006",0
"AMJI031333","AMAN031005",0.431
"AMJI031333","AMAN031004",0.431
"AMJI031333","AMAN031003",0.336
"AMJI031333","AMAN031002",0.478
"AMJI031333","AMAN031001",0.336
"AMJI031333","AMAN031000",0.241
"AMJI031333","AMAN030999",0.241
"AMJI031333","AMAN030998",0.004
"AMJI031333","AMAN030997",0.241
"AMJI031333","AMAN030996",0.241
"AMJI031333","AMAN030995",0.194
"AMJI031333","AMAN030994",0.241
