file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
Overall_COI.tsv	P	heome-f_480M	0.681332364	0.7021825	0.11665	0.1448086	0.781168
Overall_COI.tsv	P	heome-g_829V	0.510762375	0.5286735	0.09475	0.12655	0.579998
Overall_COI.tsv	P	heome-d_370G	0.004460439	0.004568	0.00285	0	0.010001
Overall_COI.tsv	P	heome-d_372H	0.016048347	0.016797	0.00617	0.002707	0.025561
Overall_COI.tsv	P	heome-d_374V	0.006903737	0.00575	0.00815	0.001168	0.015018
Overall_COI.tsv	P	heome-d_386C	0.065778361	0.066493	0.0178	0.019417	0.095551
Overall_COI.tsv	P	heome-d_400E	0.175238237	0.186101	0.04296	0.03723	0.218118
Overall_COI.tsv	P	heome-c_606I	0.008704839	0.008357	0.00412	0.002764	0.017769
Overall_COI.tsv	P	heome-c_619G	0.003820566	0.004017	0.0027	0	0.009318
Overall_COI.tsv	P	heome-c_620K	0.047623407	0.048663	0.01405	0.01192	0.069147
Overall_COI.tsv	P	heome-c_621H	0.72084519	0.732648	0.1108	0.326331775	0.856777
Overall_COI.tsv	P	heome-c_623D	0.9110528	0.923469	0.08695	0.661779	0.966806
Overall_COI.tsv	e1	e1	0.007307253	0.006939	0.00388	0.003989	0.009398
Overall_COI.tsv	e2	e2	0.054769757	0.054962	0.00152	0.05087	0.057256525
