1	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0.079649	0.000000	0.000000	0.000000	0.107954	0.081527	0.000000	0.000000	0.054998	0.000000	0.000000	0.000000	0.017134	0.000000	0.000000	0.000000	0.000000	0.000000	0.079839	0.004905	0.020398	0.000000	0.232543	0.000000	0.000000	0.026446	0.000000	0.000000	0.000000	0.000000	0.000000	0.015965	0.001434	0.000000	0.000000	0.000000	0.055194	0.000000	0.029251	0.000000	0.200043	0.000000	0.013349	0.095796	0.000000	0.000000	0.003329	0.070492	0.000207	0.082024	0.000000	0.000000	0.016673	0.000000	0.000000	0.061052	0.000000	0.094929	0.000000	0.000000	0.000000	0.000000	0.031146	0.050000	0.050000
2	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	0.023258	0.067966	0.000000	0.000000	0.107954	0.081527	0.000000	0.000000	0.054998	0.110146	0.000000	0.001112	0.017134	0.193084	0.110362	0.000000	0.135011	0.000000	0.079839	0.004905	0.020398	0.098590	0.232543	0.000000	0.000000	0.032391	0.000000	0.000000	0.000000	0.000000	0.000000	0.015965	0.001434	0.000000	0.000000	0.000000	0.055194	0.022572	0.029251	0.000000	0.162780	0.035547	0.070726	0.095796	0.098081	0.215301	0.003329	0.070492	0.000207	0.039341	0.048358	0.208941	0.049723	0.000000	0.000000	0.061052	0.043875	0.037230	0.000000	0.000000	0.000000	0.000000	0.031146	0.050000	0.050000
3	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	14	15	16	16	17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	13	15	15	15	15	15	15	15	15	15	15	0.023258	0.067966	0.000000	0.213248	0.046028	0.039911	0.000000	0.000000	0.054998	0.095671	0.000000	0.001112	0.017134	0.173446	0.110362	0.000000	0.135011	0.000000	0.079839	0.174908	0.020398	0.098590	0.172854	0.000000	0.000000	0.035991	0.000000	0.000000	0.000000	0.134764	0.000000	0.015965	0.001434	0.018322	0.000000	0.000000	0.055194	0.022572	0.029251	0.000000	0.162780	0.035547	0.070726	0.048405	0.098081	0.189046	0.009742	0.107164	0.000207	0.039341	0.048358	0.208941	0.049723	0.000000	0.041863	0.061052	0.043875	0.037230	0.003244	0.000000	0.098232	0.039921	0.031146	0.050000	0.050000
4	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	17	13	14	16	17	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	14	15	14	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	16	15	15	15	15	15	15	14	15	16	15	15	15	14	15	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	15	15	15	15	14	15	15	15	14	15	15	15	15	15	15	15	16	15	15	15	15	15	15	15	14	15	15	15	14	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	16	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	16	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	16	15	16	15	16	15	15	14	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	13	15	15	15	15	15	15	15	15	15	15	0.023258	0.067966	0.163989	0.213248	0.046028	0.009064	0.000000	0.000000	0.054998	0.033219	0.000000	0.001112	0.017134	0.173446	0.067215	0.077711	0.128314	0.189811	0.079839	0.102742	0.020398	0.098590	0.124216	0.000000	0.147294	0.035991	0.014897	0.186813	0.000000	0.209552	0.129442	0.015965	0.001434	0.009959	0.000000	0.000000	0.055194	0.096470	0.029251	0.000000	0.162780	0.035547	0.070726	0.048405	0.098081	0.081637	0.097727	0.107164	0.000207	0.039341	0.048358	0.110678	0.076490	0.000000	0.041863	0.061052	0.043875	0.037230	0.003244	0.000000	0.098232	0.039921	0.106191	0.050000	0.050000
5	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	15	16	13	13	15	16	16	15	15	15	15	16	14	14	14	16	15	15	14	16	15	14	14	14	16	16	15	15	15	15	15	15	14	15	15	15	14	16	15	15	15	15	16	15	15	16	15	14	15	13	15	15	15	15	15	15	15	15	15	13	15	15	15	15	15	14	15	14	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	14	15	17	15	15	15	15	14	14	15	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	16	15	15	15	15	13	15	15	15	13	15	15	15	15	14	15	15	15	15	16	14	15	15	15	14	14	15	15	15	13	17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	15	15	14	14	15	15	15	15	15	15	16	15	15	15	15	15	15	15	14	15	15	14	15	15	15	15	16	15	14	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	16	15	15	15	15	15	15	15	15	15	15	15	15	16	15	15	15	15	15	15	15	15	13	14	15	14	15	15	15	15	14	15	15	14	15	15	14	14	14	15	15	17	14	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	13	15	14	15	15	14	14	15	15	15	15	15	15	15	15	15	15	15	16	15	15	15	15	15	15	15	15	15	15	15	14	14	15	14	15	15	15	15	15	15	15	15	15	13	15	15	15	15	15	15	14	14	15	14	14	15	14	15	15	15	15	15	0.023258	0.067966	0.163989	0.213248	0.046028	0.009064	0.036449	0.000000	0.027810	0.033219	0.000000	0.001112	0.017134	0.173446	0.067215	0.077711	0.128314	0.189811	0.079839	0.102742	0.020398	0.098590	0.124216	0.000000	0.058062	0.035991	0.116967	0.186813	0.037905	0.209552	0.024112	0.015965	0.001434	0.009959	0.014883	0.000000	0.055194	0.096470	0.029251	0.000000	0.162780	0.035547	0.070726	0.048405	0.098081	0.057964	0.097727	0.107164	0.000207	0.039341	0.109403	0.110678	0.076490	0.000000	0.033929	0.061052	0.043875	0.037230	0.003244	0.000000	0.098232	0.039921	0.161743	0.050000	0.050000
6	14	14	15	14	15	14	15	15	14	14	14	14	14	14	13	13	15	16	12	14	15	15	17	15	15	15	15	15	13	14	15	15	15	14	14	16	15	13	14	14	15	16	15	16	15	14	15	15	14	15	15	15	14	15	15	15	15	15	17	14	15	15	15	13	16	12	14	15	14	15	15	15	15	14	14	12	14	14	14	14	14	13	14	13	14	13	14	14	14	15	15	15	15	15	14	14	14	14	15	14	15	15	14	14	14	15	14	14	13	15	18	15	14	15	14	13	15	15	14	13	14	14	14	14	16	15	14	15	15	15	15	14	15	15	13	15	17	14	15	14	15	12	14	15	15	14	14	15	15	15	14	15	16	14	15	15	13	14	15	15	13	14	15	14	15	14	16	14	15	14	14	14	14	15	15	15	14	14	14	15	14	16	16	14	14	14	13	14	16	15	15	14	14	16	14	14	14	15	16	15	15	14	15	15	14	14	15	15	14	15	15	13	15	15	14	15	14	14	15	15	15	14	15	15	15	15	15	15	14	15	15	15	15	15	14	15	14	15	14	14	15	14	15	14	15	15	14	14	14	14	14	13	13	14	13	15	16	14	14	13	16	16	14	15	15	13	15	13	14	16	16	14	16	16	16	16	15	14	14	14	15	14	16	14	14	15	15	14	15	13	15	13	14	15	13	14	15	14	14	14	14	14	14	15	15	14	15	16	14	15	15	14	15	14	15	15	15	15	15	13	13	16	13	16	14	14	15	15	15	14	14	14	12	14	15	14	14	14	14	13	13	14	14	14	15	15	14	16	14	15	14	0.023258	0.067966	0.163989	0.193327	0.033921	0.009064	0.036449	0.000000	0.027810	0.033219	0.000000	0.001112	0.017134	0.119048	0.067215	0.077711	0.105391	0.189811	0.079839	0.102742	0.020398	0.012056	0.124216	0.000000	0.058062	0.049038	0.116967	0.186813	0.037905	0.209552	0.024112	0.015965	0.001434	0.009959	0.014883	0.000000	0.055194	0.096470	0.029251	0.082764	0.162780	0.035547	0.070726	0.048405	0.011434	0.057964	0.097727	0.107164	0.000207	0.039341	0.109403	0.110678	0.076490	0.000000	0.033929	0.061052	0.028903	0.037230	0.003244	0.000000	0.055010	0.039921	0.161743	0.033818	0.050000
7	13	14	14	13	14	13	14	15	13	14	14	14	13	14	13	12	16	15	13	13	16	15	18	16	14	14	14	16	13	15	14	15	15	13	15	16	14	13	13	14	15	16	14	15	14	13	14	16	14	15	15	15	13	14	14	15	15	15	18	14	15	14	14	12	16	13	13	14	13	16	14	15	14	15	13	13	13	14	15	14	13	13	14	13	13	12	14	14	14	14	14	14	14	16	13	14	14	14	15	14	15	14	15	13	13	14	13	14	12	14	17	14	15	15	13	13	16	15	15	12	13	13	14	14	15	14	14	16	15	14	15	14	14	15	13	14	18	14	14	13	14	13	14	16	15	13	14	14	14	14	13	15	16	13	15	16	14	13	16	15	12	14	15	14	14	13	17	13	14	13	13	14	14	14	14	15	13	15	14	14	13	17	15	14	13	15	12	13	16	15	16	14	14	15	14	13	14	14	15	14	14	15	14	15	14	13	16	14	13	14	14	12	15	14	15	14	13	13	14	14	14	13	15	15	14	16	16	15	13	14	15	15	14	15	13	15	14	14	14	15	15	13	14	13	15	14	13	13	14	13	14	13	13	14	13	14	15	13	14	12	17	15	14	15	15	14	14	13	14	15	17	15	16	16	17	16	14	15	13	13	14	14	15	14	13	16	14	15	14	13	14	12	14	15	12	14	16	15	15	13	14	13	13	15	16	14	14	17	14	14	15	13	14	14	14	14	14	15	16	13	13	17	13	15	14	13	14	15	15	14	14	13	12	14	14	14	14	15	13	14	12	13	13	13	16	14	13	15	15	15	13	0.023258	0.067966	0.163989	0.193327	0.033921	0.023859	0.036449	0.000000	0.027810	0.033219	0.000000	0.001112	0.007620	0.049525	0.067215	0.077711	0.105391	0.067321	0.079839	0.102742	0.020398	0.062971	0.124216	0.000000	0.058062	0.049038	0.087359	0.169970	0.037905	0.209552	0.024112	0.015965	0.001434	0.009959	0.073063	0.000000	0.055194	0.096470	0.029251	0.017961	0.162780	0.035547	0.070726	0.048405	0.011434	0.057964	0.097727	0.130963	0.000207	0.039341	0.109403	0.110678	0.076490	0.000000	0.033929	0.061052	0.028903	0.037230	0.003244	0.000000	0.055010	0.039921	0.246570	0.032996	0.050000
8	14	13	13	13	14	14	14	15	13	13	13	14	12	14	12	11	15	16	12	13	16	14	19	16	14	14	15	16	13	14	14	15	14	12	14	15	14	13	13	13	15	17	14	15	13	13	13	16	14	15	15	15	13	13	13	14	15	14	19	13	15	15	13	12	16	12	12	13	13	16	13	15	13	14	13	12	14	14	14	13	13	12	13	12	14	12	13	13	13	14	13	14	13	15	14	13	13	13	14	14	16	14	14	12	14	13	12	13	11	14	18	13	15	15	13	12	17	14	16	11	12	12	14	15	15	13	13	17	16	13	14	15	13	16	12	15	18	13	15	12	13	12	13	15	16	14	15	15	15	13	12	16	16	13	14	17	15	12	17	15	12	13	14	14	13	12	16	12	13	12	12	13	13	14	14	16	13	15	13	13	13	16	15	15	14	14	11	13	16	14	15	13	14	15	13	13	13	14	16	13	15	14	13	15	14	14	15	13	14	13	13	11	15	13	15	13	12	14	14	14	14	12	14	14	14	16	15	15	12	15	14	14	14	14	13	14	14	14	13	14	14	12	13	12	15	14	12	13	14	13	13	12	14	13	13	15	15	12	14	11	16	14	13	15	14	13	13	13	13	14	16	14	15	15	18	16	13	14	13	12	14	14	15	13	13	17	14	14	13	12	14	11	13	14	11	13	16	14	16	14	14	13	14	15	16	13	15	18	15	13	15	12	14	13	13	14	14	14	15	12	12	17	13	15	14	12	14	15	14	13	14	12	12	14	14	14	13	14	12	14	13	12	13	12	15	13	13	14	15	14	12	0.023258	0.067966	0.163989	0.055391	0.033921	0.023859	0.033759	0.000000	0.027810	0.033219	0.000000	0.001112	0.007620	0.049525	0.067215	0.077711	0.105391	0.000637	0.079839	0.102742	0.020398	0.062971	0.124216	0.000000	0.058062	0.049038	0.087359	0.169970	0.037905	0.410090	0.024112	0.015965	0.001434	0.009959	0.033601	0.000000	0.023602	0.096470	0.029251	0.017961	0.162780	0.015660	0.070726	0.002666	0.011434	0.057964	0.097727	0.130963	0.000207	0.039341	0.109403	0.110678	0.076490	0.000000	0.033929	0.061052	0.028903	0.037230	0.003244	0.000000	0.055010	0.039921	0.246570	0.032996	0.050000
9	14	12	13	12	14	14	13	14	13	12	12	14	13	14	12	10	16	17	13	12	15	13	20	17	13	13	14	15	13	13	13	15	13	11	15	15	13	13	12	12	14	16	14	16	12	12	14	15	13	15	14	15	12	14	12	14	16	14	19	12	15	16	12	11	15	13	12	14	12	16	14	14	12	15	12	13	13	13	13	12	13	13	13	13	13	11	14	13	13	13	13	15	12	15	14	14	14	12	13	13	17	13	13	12	13	14	11	14	12	13	19	12	14	14	12	13	16	15	16	10	11	12	14	15	14	13	14	17	16	14	13	15	13	15	12	15	19	12	14	13	13	11	14	14	15	13	14	16	14	13	11	15	15	12	13	16	16	12	18	15	13	13	14	13	13	11	16	13	12	13	13	12	13	13	14	15	12	15	13	13	13	15	14	14	13	14	10	12	16	13	14	14	14	14	13	13	13	13	16	13	15	13	12	14	13	15	14	13	15	13	12	10	16	12	15	13	12	14	13	13	14	13	15	14	13	15	15	14	11	14	15	14	13	13	12	13	14	13	13	13	13	12	12	11	15	15	13	12	14	12	12	13	13	13	12	14	14	11	14	10	15	14	12	14	15	14	14	12	12	13	17	14	16	14	18	17	13	13	12	11	13	13	14	12	14	17	14	13	12	11	13	11	12	14	10	13	16	13	15	13	13	13	13	14	15	12	15	17	16	14	15	13	13	14	12	14	15	13	14	11	13	18	14	16	13	11	14	15	14	12	13	12	11	14	13	14	13	13	12	14	12	11	13	12	15	13	12	14	16	13	11	0.023258	0.040800	0.163989	0.055391	0.001071	0.023859	0.033759	0.000000	0.027810	0.033219	0.000000	0.001112	0.007620	0.049525	0.067215	0.077711	0.105391	0.000637	0.079839	0.102742	0.020398	0.062971	0.055620	0.000000	0.058062	0.049038	0.087359	0.169970	0.037905	0.446202	0.024112	0.015965	0.001434	0.009959	0.033601	0.000000	0.023602	0.096470	0.029251	0.017961	0.098274	0.015660	0.070726	0.002666	0.011434	0.057964	0.097727	0.130963	0.000207	0.039341	0.234611	0.110678	0.076490	0.000000	0.033929	0.061052	0.028903	0.037230	0.003244	0.000000	0.055010	0.039921	0.480015	0.032996	0.049995
10	13	13	14	13	13	13	13	14	12	11	13	13	13	13	12	11	15	16	14	11	14	12	21	17	12	13	13	14	12	12	13	14	12	12	14	15	13	13	11	12	13	15	14	15	11	13	14	15	13	14	14	14	13	14	11	13	16	14	18	11	16	17	11	10	14	12	11	15	12	16	15	15	13	15	11	13	12	13	14	13	13	14	12	13	14	11	14	14	12	14	14	16	12	16	13	15	15	11	13	13	17	12	12	12	14	13	11	13	11	13	20	11	13	13	12	12	15	14	16	11	12	12	15	14	13	12	13	16	16	13	12	15	13	14	11	15	18	11	13	12	13	12	13	13	14	12	13	15	13	12	10	14	14	11	12	15	17	13	17	14	12	14	14	12	12	12	17	13	12	14	14	12	14	13	13	14	12	14	13	13	14	15	13	15	12	13	11	13	16	12	13	13	13	13	14	12	13	13	15	13	15	13	11	13	12	14	13	12	15	14	11	9	15	12	16	14	12	15	12	14	14	14	15	13	12	15	14	14	11	13	14	13	14	12	12	14	14	13	12	14	13	12	11	10	15	16	12	11	13	12	13	14	13	14	12	14	14	11	13	11	15	14	12	13	14	14	14	11	13	12	18	14	17	15	19	16	13	14	13	10	14	13	14	11	13	16	13	13	12	12	14	10	12	14	11	13	15	13	15	13	13	14	14	15	14	11	15	16	15	14	14	12	12	13	11	13	15	13	13	12	12	17	15	17	12	11	13	15	14	11	14	11	10	13	13	13	12	12	13	14	13	12	12	11	14	13	11	13	15	14	11	0.023258	0.040022	0.041707	0.055391	0.001071	0.023859	0.033759	0.000000	0.021716	0.033219	0.000000	0.001112	0.007620	0.049525	0.067215	0.077711	0.105391	0.000637	0.079839	0.157397	0.020398	0.062971	0.055620	0.000000	0.058062	0.049038	0.087359	0.169970	0.037905	0.563096	0.024112	0.015965	0.001434	0.000389	0.033601	0.000000	0.023602	0.096470	0.029251	0.017961	0.098274	0.015660	0.070726	0.002666	0.011434	0.057964	0.090154	0.130963	0.000207	0.039341	0.272660	0.110678	0.076490	0.000000	0.033929	0.061052	0.028903	0.037230	0.003244	0.000000	0.035932	0.039921	0.480015	0.032996	0.049995
