Region,n,x,weighted_prevalence,se,ci_low,ci_high
Afar,22,1,0.05571279275638836,0.05395561593088286,0,0.16146385674459432
Amhara,98,33,0.33181175541552055,0.048686955873985444,0.23638707538561826,0.42723643544542284
Dire Dawa,21,5,0.23783056652562826,0.09318231649909021,0.05519658219139903,0.42046455085985746
Gambela,9,0,0,0,0,0
Sidama,17,0,0,0,0,0
South Ethiopia,106,1,0.009593081484914176,0.009561667276776768,0,0.028333604979551813
Tigray,37,25,0.6714597613115507,0.08037395904420379,0.513929696290014,0.8289898263330875
